symbol,start,end,download_start_date_str,download_end_date_str,download_start_month_str,download_end_month_str
BTCUSDT,2017-08-17,2026-01-20,2017-08-17,2026-01-19,2017-08,2025-12
ETHUSDT,2017-08-17,2026-01-20,2017-08-17,2026-01-19,2017-08,2025-12
BNBUSDT,2017-11-06,2026-01-20,2017-11-06,2026-01-19,2017-11,2025-12
BCCUSDT,2017-11-11,2018-11-20,2017-11-11,2018-11-20,2017-11,2018-11
NEOUSDT,2017-11-20,2026-01-20,2017-11-20,2026-01-19,2017-11,2025-12
LTCUSDT,2017-12-13,2026-01-20,2017-12-13,2026-01-19,2017-12,2025-12
QTUMUSDT,2018-03-19,2026-01-20,2018-03-19,2026-01-19,2018-03,2025-12
ADAUSDT,2018-04-17,2026-01-20,2018-04-17,2026-01-19,2018-04,2025-12
XRPUSDT,2018-05-04,2026-01-20,2018-05-04,2026-01-19,2018-05,2025-12
EOSUSDT,2018-05-28,2025-05-26,2018-05-28,2025-05-26,2018-05,2025-05
TUSDUSDT,2018-05-31,2026-01-20,2018-05-31,2026-01-19,2018-05,2025-12
IOTAUSDT,2018-05-31,2026-01-20,2018-05-31,2026-01-19,2018-05,2025-12
XLMUSDT,2018-05-31,2026-01-20,2018-05-31,2026-01-19,2018-05,2025-12
ONTUSDT,2018-06-08,2026-01-20,2018-06-08,2026-01-19,2018-06,2025-12
TRXUSDT,2018-06-11,2026-01-20,2018-06-11,2026-01-19,2018-06,2025-12
ETCUSDT,2018-06-12,2026-01-20,2018-06-12,2026-01-19,2018-06,2025-12
ICXUSDT,2018-06-13,2026-01-20,2018-06-13,2026-01-19,2018-06,2025-12
VENUSDT,2018-06-22,2018-10-19,2018-06-22,2018-10-19,2018-06,2018-10
NULSUSDT,2018-07-23,2025-04-16,2018-07-23,2025-04-16,2018-07,2025-04
VETUSDT,2018-07-25,2026-01-20,2018-07-25,2026-01-19,2018-07,2025-12
PAXUSDT,2018-10-04,2021-09-06,2018-10-04,2021-09-06,2018-10,2021-09
BCHABCUSDT,2018-11-16,2019-11-28,2018-11-16,2019-11-28,2018-11,2019-11
BCHSVUSDT,2018-11-16,2019-04-22,2018-11-16,2019-04-22,2018-11,2019-04
USDCUSDT,2018-12-15,2026-01-20,2018-12-15,2026-01-19,2018-12,2025-12
LINKUSDT,2019-01-16,2026-01-20,2019-01-16,2026-01-19,2019-01,2025-12
WAVESUSDT,2019-01-18,2024-06-17,2019-01-18,2024-06-17,2019-01,2024-06
BTTUSDT,2019-01-31,2022-01-17,2019-01-31,2022-01-17,2019-01,2022-01
