symbol,start,end,download_start_date_str,download_end_date_str,download_start_month_str,download_end_month_str
BTCUSDT,2019-09-08,2026-01-20,2019-09-08,2026-01-19,2019-09,2025-12
ETHUSDT,2019-11-27,2026-01-20,2019-11-27,2026-01-19,2019-11,2025-12
BCHUSDT,2019-12-19,2026-01-20,2019-12-19,2026-01-19,2019-12,2025-12
XRPUSDT,2020-01-06,2026-01-20,2020-01-06,2026-01-19,2020-01,2025-12
LTCUSDT,2020-01-09,2026-01-20,2020-01-09,2026-01-19,2020-01,2025-12
TRXUSDT,2020-01-15,2026-01-20,2020-01-15,2026-01-19,2020-01,2025-12
ETCUSDT,2020-01-16,2026-01-20,2020-01-16,2026-01-19,2020-01,2025-12
LINKUSDT,2020-01-17,2026-01-20,2020-01-17,2026-01-19,2020-01,2025-12
XLMUSDT,2020-01-20,2026-01-20,2020-01-20,2026-01-19,2020-01,2025-12
ADAUSDT,2020-01-31,2026-01-20,2020-01-31,2026-01-19,2020-01,2025-12
XMRUSDT,2020-02-03,2026-01-20,2020-02-03,2026-01-19,2020-02,2025-12
DASHUSDT,2020-02-04,2026-01-20,2020-02-04,2026-01-19,2020-02,2025-12
ZECUSDT,2020-02-05,2026-01-20,2020-02-05,2026-01-19,2020-02,2025-12
XTZUSDT,2020-02-06,2026-01-20,2020-02-06,2026-01-19,2020-02,2025-12
BNBUSDT,2020-02-10,2026-01-20,2020-02-10,2026-01-19,2020-02,2025-12
ATOMUSDT,2020-02-07,2026-01-20,2020-02-07,2026-01-19,2020-02,2025-12
ONTUSDT,2020-02-11,2026-01-20,2020-02-11,2026-01-19,2020-02,2025-12
IOTAUSDT,2020-02-12,2026-01-20,2020-02-12,2026-01-19,2020-02,2025-12
BATUSDT,2020-02-13,2026-01-20,2020-02-13,2026-01-19,2020-02,2025-12
VETUSDT,2020-02-14,2026-01-20,2020-02-14,2026-01-19,2020-02,2025-12
NEOUSDT,2020-02-17,2026-01-20,2020-02-17,2026-01-19,2020-02,2025-12
QTUMUSDT,2020-02-20,2026-01-20,2020-02-20,2026-01-19,2020-02,2025-12
IOSTUSDT,2020-02-21,2026-01-20,2020-02-21,2026-01-19,2020-02,2025-12
THETAUSDT,2020-05-27,2026-01-20,2020-05-27,2026-01-19,2020-05,2025-12
ALGOUSDT,2020-06-16,2026-01-20,2020-06-16,2026-01-19,2020-06,2025-12
ZILUSDT,2020-06-18,2026-01-20,2020-06-18,2026-01-19,2020-06,2025-12
KNCUSDT,2020-06-22,2026-01-20,2020-06-22,2026-01-19,2020-06,2025-12
ZRXUSDT,2020-06-24,2026-01-20,2020-06-24,2026-01-19,2020-06,2025-12
COMPUSDT,2020-06-30,2026-01-20,2020-06-30,2026-01-19,2020-06,2025-12
OMGUSDT,2020-07-02,2026-01-20,2020-07-02,2026-01-19,2020-07,2025-12
DOGEUSDT,2020-07-10,2026-01-20,2020-07-10,2026-01-19,2020-07,2025-12
SXPUSDT,2020-07-21,2026-01-20,2020-07-21,2026-01-19,2020-07,2025-12
KAVAUSDT,2020-07-28,2026-01-20,2020-07-28,2026-01-19,2020-07,2025-12
BANDUSDT,2020-07-29,2026-01-20,2020-07-29,2026-01-19,2020-07,2025-12
RLCUSDT,2020-07-31,2026-01-20,2020-07-31,2026-01-19,2020-07,2025-12
WAVESUSDT,2020-08-12,2026-01-20,2020-08-12,2026-01-19,2020-08,2025-12
MKRUSDT,2020-08-13,2026-01-20,2020-08-13,2026-01-19,2020-08,2025-12
SNXUSDT,2020-08-14,2026-01-20,2020-08-14,2026-01-19,2020-08,2025-12
DOTUSDT,2020-08-22,2026-01-20,2020-08-22,2026-01-19,2020-08,2025-12
DEFIUSDT,2020-08-28,2026-01-20,2020-08-28,2026-01-19,2020-08,2025-12
YFIUSDT,2020-08-31,2026-01-20,2020-08-31,2026-01-19,2020-08,2025-12
BALUSDT,2020-09-01,2026-01-20,2020-09-01,2026-01-19,2020-09,2025-12
CRVUSDT,2020-09-01,2026-01-20,2020-09-01,2026-01-19,2020-09,2025-12
TRBUSDT,2020-09-03,2026-01-20,2020-09-03,2026-01-19,2020-09,2025-12
RUNEUSDT,2020-09-04,2026-01-20,2020-09-04,2026-01-19,2020-09,2025-12
SUSHIUSDT,2020-09-04,2026-01-20,2020-09-04,2026-01-19,2020-09,2025-12
EGLDUSDT,2020-09-14,2026-01-20,2020-09-14,2026-01-19,2020-09,2025-12
SOLUSDT,2020-09-14,2026-01-20,2020-09-14,2026-01-19,2020-09,2025-12
ICXUSDT,2020-09-15,2026-01-20,2020-09-15,2026-01-19,2020-09,2025-12
STORJUSDT,2020-09-16,2026-01-20,2020-09-16,2026-01-19,2020-09,2025-12
BLZUSDT,2020-09-17,2026-01-20,2020-09-17,2026-01-19,2020-09,2025-12
UNIUSDT,2020-09-18,2026-01-20,2020-09-18,2026-01-19,2020-09,2025-12
AVAXUSDT,2020-09-23,2026-01-20,2020-09-23,2026-01-19,2020-09,2025-12
FTMUSDT,2020-09-24,2026-01-20,2020-09-24,2026-01-19,2020-09,2025-12
ENJUSDT,2020-09-29,2026-01-20,2020-09-29,2026-01-19,2020-09,2025-12
FLMUSDT,2020-09-29,2026-01-20,2020-09-29,2026-01-19,2020-09,2025-12
RENUSDT,2020-10-13,2026-01-20,2020-10-13,2026-01-19,2020-10,2025-12
KSMUSDT,2020-10-14,2026-01-20,2020-10-14,2026-01-19,2020-10,2025-12
NEARUSDT,2020-10-15,2026-01-20,2020-10-15,2026-01-19,2020-10,2025-12
AAVEUSDT,2020-10-16,2026-01-20,2020-10-16,2026-01-19,2020-10,2025-12
FILUSDT,2020-10-16,2026-01-20,2020-10-16,2026-01-19,2020-10,2025-12
RSRUSDT,2020-10-19,2026-01-20,2020-10-19,2026-01-19,2020-10,2025-12
LRCUSDT,2020-10-19,2026-01-20,2020-10-19,2026-01-19,2020-10,2025-12
OCEANUSDT,2020-11-03,2026-01-20,2020-11-03,2026-01-19,2020-11,2025-12
BELUSDT,2020-11-18,2026-01-20,2020-11-18,2026-01-19,2020-11,2025-12
AXSUSDT,2020-11-20,2026-01-20,2020-11-20,2026-01-19,2020-11,2025-12
ALPHAUSDT,2020-11-23,2026-01-20,2020-11-23,2026-01-19,2020-11,2025-12
